INFO:root:[2022-06-06 14:32:44] 실행 결과 args-(), kwargs-{'name': 'swd', 'age': 20}
INFO:root:[2022-06-06 14:49:24] 실행 결과 args-(), kwargs-{'name': 'swd', 'age': 1}
INFO:root:[2022-06-06 14:52:05] args:(), kwargs-{'name': 'swd', 'age': 1}
INFO:root:[2022-06-06 14:52:57] args:(), kwargs-{'name': 'swd', 'age': 1}
INFO:root:[2022-06-06 14:53:08] args:(), kwargs-{'name': 'swd', 'age': 1}
INFO:root:[2022-06-06 14:53:57] args:(), kwargs-{'name': 'swd', 'age': 1}
INFO:root:[2022-06-06 14:54:06] args:(), kwargs-{'name': 'swd', 'age': 1}
INFO:root:[2022-06-06 14:54:52] args:(), kwargs-{'name': 'swd', 'age': 1}
INFO:root:[2022-06-06 14:57:47] args:(), kwargs-{'name': 'swd', 'age': 1}
INFO:root:[2022-06-06 15:01:07] args:(), kwargs-{'name': 'swd', 'age': 1}
INFO:root:[2022-06-06 15:18:56] 실행결과 args-('swd', 20), kwargs-{}
INFO:root:[2022-06-06 15:19:05] 실행결과 args-('swd', 20), kwargs-{}
INFO:root:[2022-06-06 15:19:12] 실행결과 args-('swd', 20), kwargs-{}
